id,name,side,count,grouping,image,summary,tip,source_url
12,Three Black Crows,Bearish,3,ต่อเนื่อง 3 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Three+Black+Crows,"แท่งแดง 3 แท่งเรียงกัน แรงขายชัดเจน","อย่าจับมีดหล่น ให้รอรีเทสก่อน",https://www.investopedia.com/terms/t/three_black_crows.asp
13,Bullish Harami,Bullish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Bullish+Harami,"แท่งเขียวเล็กอยู่ในแท่งแดงก่อนหน้า แรงขายเริ่มหมด","ยืนยันด้วยแท่งเขียวถัดไปหรือวอลุ่มเพิ่ม",https://www.investopedia.com/terms/h/harami.asp
14,Bearish Harami,Bearish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Bearish+Harami,"แท่งแดงเล็กอยู่ในแท่งเขียวก่อนหน้า แรงซื้อเริ่มอ่อน","ดูให้เกิดใกล้แนวต้าน",https://www.investopedia.com/terms/h/harami.asp
15,Bullish Harami Cross,Bullish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Bullish+Harami+Cross,"ลักษณะเดียวกับ Bullish Harami แต่แท่งในเป็นโดจิ","มักจะกลับตัวได้ดีหลังลงแรง",https://www.investopedia.com/
16,Bearish Harami Cross,Bearish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Bearish+Harami+Cross,"ลักษณะเดียวกับ Bearish Harami แต่แท่งในเป็นโดจิ","ใช้ยืนยันด้วยอินดิเคเตอร์โมเมนตัม",https://www.investopedia.com/
17,Dragonfly Doji,Neutral,1,โดจิ,https://placehold.co/640x360/94a3b8/ffffff?text=Dragonfly+Doji,"ราคาเปิด-ปิดเท่ากัน มีหางล่างยาว แรงซื้อดันกลับ","ถ้าเกิดหลังขาลงมักตีความเป็น bullish",https://www.investopedia.com/terms/d/dragonflydoji.asp
18,Gravestone Doji,Neutral,1,โดจิ,https://placehold.co/640x360/94a3b8/ffffff?text=Gravestone+Doji,"ราคาเปิด-ปิดเท่ากัน มีหางบนยาว แรงขายดันกลับ","ถ้าเกิดบนยอดมักตีความเป็น bearish",https://www.investopedia.com/terms/g/gravestonedoji.asp
19,Long-Legged Doji,Neutral,1,โดจิ,https://placehold.co/640x360/94a3b8/ffffff?text=Long-Legged+Doji,"ไส้ยาวทั้งบนและล่าง ความไม่แน่นอนสูง","รอดูแท่งถัดไปยืนยันทาง",https://www.investopedia.com/terms/l/longleggeddoji.asp
20,Doji,Neutral,1,โดจิ,https://placehold.co/640x360/94a3b8/ffffff?text=Doji,"เปิดเท่าปิด ไม่รู้จะไปทางไหน","อย่าดูเดี่ยวๆ ให้ดูบริบทแนวรับแนวต้าน",https://www.investopedia.com/terms/d/doji.asp
21,Spinning Top,Neutral,1,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Spinning+Top,"ตัวเทียนเล็ก ไส้บนล่างยาว กำลังลังเล","ดูกับวอลุ่มและโซนราคา",https://www.investopedia.com/terms/s/spinning-top.asp
22,White Marubozu,Bullish,1,มารูโบซึ,https://placehold.co/640x360/10b981/ffffff?text=White+Marubozu,"แท่งเขียวทึบไม่มีไส้ แรงซื้อเต็มแท่ง","มักต่อเนื่องถ้าไม่มีแนวต้านใกล้ๆ",https://www.investopedia.com/terms/m/marubozu.asp
23,Black Marubozu,Bearish,1,มารูโบซึ,https://placehold.co/640x360/ef4444/ffffff?text=Black+Marubozu,"แท่งแดงทึบไม่มีไส้ แรงขายเต็มแท่ง","ใช้เป็นสัญญาณเริ่มลงได้",https://www.investopedia.com/terms/m/marubozu.asp
24,Rising Three Methods,Bullish,5,ต่อเนื่อง 5 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Rising+Three+Methods,"แท่งขึ้นใหญ่ ตามด้วยแท่งย่อเล็กๆ แล้วปิดด้วยแท่งขึ้นอีก","สัญญาณพักตัวในเทรนด์ขึ้น",https://www.investopedia.com/terms/r/rising-three-methods.asp
25,Falling Three Methods,Bearish,5,ต่อเนื่อง 5 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Falling+Three+Methods,"ตรงข้ามกับ rising three methods ในเทรนด์ลง","ให้เทรดตามเทรนด์เดิม",https://www.investopedia.com/terms/f/falling-three-methods.asp
26,Upside Tasuki Gap,Bullish,3,ช่องว่าง,https://placehold.co/640x360/10b981/ffffff?text=Upside+Tasuki+Gap,"เกิด gap ขึ้นและยังคงแนวโน้มขึ้น","ให้ดูว่า gap ไม่โดนปิด",https://www.investopedia.com/
27,Downside Tasuki Gap,Bearish,3,ช่องว่าง,https://placehold.co/640x360/ef4444/ffffff?text=Downside+Tasuki+Gap,"gap ลงและยังคงแนวโน้มลง","ห้ามให้แท่งหลังมาปิด gap",https://www.investopedia.com/
28,Kicking,Bullish,2,ช่องว่าง,https://placehold.co/640x360/10b981/ffffff?text=Kicking,"เกิด gap ตรงข้ามสีอย่างชัดเจน บ่งบอกแรงมาก","ใช้ดูการกลับตัวรุนแรง",https://www.investopedia.com/
29,Kicking Bearish,Bearish,2,ช่องว่าง,https://placehold.co/640x360/ef4444/ffffff?text=Kicking+Bearish,"เหมือนข้อ 28 แต่เป็นขาลง","อย่าฝืนเทรดสวน",https://www.investopedia.com/
30,Mat Hold,Bullish,5,ต่อเนื่อง,https://placehold.co/640x360/10b981/ffffff?text=Mat+Hold,"แพทเทิร์นต่อเนื่องในเทรนด์ขึ้น พักแล้วไปต่อ","มักใช้กับหุ้นที่ขึ้นแรง",https://www.investopedia.com/
31,Counterattack Bullish,Bullish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Counterattack+Bullish,"ราคาเปิดกลับมาเท่าจุดปิดก่อนหน้า แรงซื้อสวน","ใช้ใกล้แนวรับจะดี",https://www.investopedia.com/
32,Counterattack Bearish,Bearish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Counterattack+Bearish,"ราคาเปิดกลับมาเท่าจุดปิดแต่เป็นฝั่งขาย","ใช้ใกล้แนวต้านจะดี",https://www.investopedia.com/
33,Tweezer Bottom,Bullish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Tweezer+Bottom,"สองแท่งติดทำ low ใกล้กัน แรงขายเริ่มหมด","ดูร่วมกับแนวรับ",https://www.investopedia.com/
34,Tweezer Top,Bearish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Tweezer+Top,"สองแท่งติดทำ high ใกล้กัน แรงซื้อเริ่มหมด","ดูร่วมกับแนวต้าน",https://www.investopedia.com/
35,Window Up,Bullish,1,ช่องว่าง,https://placehold.co/640x360/10b981/ffffff?text=Window+Up,"ราคากระโดดขึ้นเป็นหน้าต่าง","โอกาสกลายเป็นแนวรับใหม่",https://www.investopedia.com/
36,Window Down,Bearish,1,ช่องว่าง,https://placehold.co/640x360/ef4444/ffffff?text=Window+Down,"ราคากระโดดลงเป็นหน้าต่าง","โอกาสกลายเป็นแนวต้านใหม่",https://www.investopedia.com/
37,Stick Sandwich,Bullish,3,กลับตัว 3 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Stick+Sandwich,"สองแท่งแดงประกบแท่งเขียวที่ปิดราคาเท่ากัน แรงซื้อต้านอยู่","เจอบริเวณแนวรับยิ่งดี",https://www.investopedia.com/
38,Deliberation,Bearish,3,ต่อเนื่อง 3 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Deliberation,"สามแท่งขึ้นแล้วแท่งสุดท้ายอ่อน บอกใกล้พัก/กลับตัว","รอดูแท่งถัดไปยืนยัน",https://www.investopedia.com/
39,Three Inside Up,Bullish,3,กลับตัว 3 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Three+Inside+Up,"แท่งที่สอง-สามยืนยันการกลับตัวขึ้นจาก Harami","ใช้หลังจากลงชัดเจน",https://www.investopedia.com/
40,Three Inside Down,Bearish,3,กลับตัว 3 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Three+Inside+Down,"ต่อจาก Bearish Harami แล้วมีแท่งลงยืนยัน","ใช้หลังจากขึ้นชัดเจน",https://www.investopedia.com/
41,Three Outside Up,Bullish,3,กลับตัว 3 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Three+Outside+Up,"Engulfing แล้วตามด้วยแท่งเขียวอีก ยืนยันแรงซื้อ","เหมาะใช้เปิดฝั่ง long",https://www.investopedia.com/
42,Three Outside Down,Bearish,3,กลับตัว 3 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Three+Outside+Down,"Bearish Engulfing แล้วตามด้วยแท่งแดงอีก ยืนยันแรงขาย","เหมาะใช้ปิดทำกำไรหรือ short",https://www.investopedia.com/
43,Abandoned Baby Bullish,Bullish,3,กลับตัว 3 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Abandoned+Baby+Bullish,"มี gap ทิ้งโดจิไว้ตรงกลาง แล้วดันกลับขึ้น","หาไม่บ่อย แต่ค่อนข้างแรง",https://www.investopedia.com/
44,Abandoned Baby Bearish,Bearish,3,กลับตัว 3 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Abandoned+Baby+Bearish,"เวอร์ชันกลับหัว ใช้ดูกลับตัวลง","ต้องมีช่องว่างชัดเจน",https://www.investopedia.com/
45,Doji Star Bullish,Bullish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Doji+Star+Bullish,"แท่งแรกลง แท่งสองเป็นโดจิแยกตัว มีโอกาสกลับขึ้น","ให้แท่งถัดไปปิดเขียวเหนือโดจิ",https://www.investopedia.com/
46,Doji Star Bearish,Bearish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Doji+Star+Bearish,"แท่งแรกขึ้น แท่งสองโดจิแยกตัว มีโอกาสลง","ให้แท่งถัดไปปิดต่ำกว่าโดจิ",https://www.investopedia.com/
47,Advance Block,Bearish,3,ต่อเนื่อง 3 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Advance+Block,"ดูเหมือนขึ้นแต่แท่งถัดไปอ่อนลงเรื่อยๆ แรงซื้อหมด","สังเกตไส้บนยาวขึ้น",https://www.investopedia.com/
48,Thrusting Pattern,Bearish,2,กลับตัว 2 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Thrusting+Pattern,"แท่งแดงยาว ตามด้วยแท่งเขียวแต่ปิดต่ำกว่ากึ่งกลาง","จัดเป็นสัญญาณลงต่อ",https://www.investopedia.com/
49,Belt Hold Bullish,Bullish,1,กลับตัว 1 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Belt+Hold+Bullish,"แท่งเขียวเปิดต่ำแล้วไต่ขึ้นทั้งแท่ง","ถ้าเกิดท้ายขาลงน่าสนใจมาก",https://www.investopedia.com/
50,Belt Hold Bearish,Bearish,1,กลับตัว 1 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Belt+Hold+Bearish,"แท่งแดงเปิดสูงแล้วไหลลงทั้งแท่ง","ใช้ป้องกันการไล่ราคาตอนปลายเทรนด์",https://www.investopedia.com/
51,Ladder Bottom,Bullish,5,กลับตัว 5 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Ladder+Bottom,"รูปแบบกลับตัวจากลงเป็นขึ้นแบบหลายแท่ง","ใช้ยืนยันกับวอลุ่ม",https://www.investopedia.com/
52,Ladder Top,Bearish,5,กลับตัว 5 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Ladder+Top,"รูปแบบกลับตัวจากขึ้นเป็นลงแบบหลายแท่ง","ใช้ใกล้แนวต้าน",https://www.investopedia.com/
53,Rising Window,Bullish,1,ช่องว่าง,https://placehold.co/640x360/10b981/ffffff?text=Rising+Window,"ช่องว่างขึ้นในเทรนด์ขึ้น","จุด gap มักกลายเป็นแนวรับ",https://www.investopedia.com/
54,Falling Window,Bearish,1,ช่องว่าง,https://placehold.co/640x360/ef4444/ffffff?text=Falling+Window,"ช่องว่างลงในเทรนด์ลง","จุด gap มักกลายเป็นแนวต้าน",https://www.investopedia.com/
55,Breakaway Bullish,Bullish,5,กลับตัว 5 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Breakaway+Bullish,"เป็นเซ็ตแท่งที่แสดงการตัดสินใจของตลาดกลับขึ้น","พิจารณาร่วมกับแนวโน้มใหญ่",https://www.investopedia.com/
56,Breakaway Bearish,Bearish,5,กลับตัว 5 แท่ง,https://placehold.co/640x360/ef4444/ffffff?text=Breakaway+Bearish,"เป็นเซ็ตแท่งที่แสดงการตัดสินใจของตลาดกลับลง","พิจารณาร่วมกับแนวโน้มใหญ่",https://www.investopedia.com/
57,Concealing Baby Swallow,Bearish,4,ต่อเนื่อง,https://placehold.co/640x360/ef4444/ffffff?text=Concealing+Baby+Swallow,"ชุดเทียนที่กลืนโดจิระหว่างทางลง แรงขายยังคงอยู่","ใช้ยืนยันว่าลงต่อ",https://www.investopedia.com/
58,Upside Gap Two Crows,Bearish,3,ช่องว่าง,https://placehold.co/640x360/ef4444/ffffff?text=Upside+Gap+Two+Crows,"เกิด gap ขึ้นแต่ตามด้วยแท่งแดง 2 แท่ง สัญญาณอ่อนแรง","มักพบในปลายขาขึ้น",https://www.investopedia.com/
59,Unique Three River Bottom,Bullish,3,กลับตัว 3 แท่ง,https://placehold.co/640x360/10b981/ffffff?text=Unique+Three+River+Bottom,"รูปแบบกลับตัวจากลงเป็นขึ้นที่ไม่พบได้บ่อย","รอแท่งยืนยันเพิ่ม",https://www.investopedia.com/
60,High Wave Candle,Neutral,1,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=High+Wave,"ไส้ยาวมากทั้งบนและล่าง ตลาดเหวี่ยงสูง","ให้ลดขนาดไม้หรือรอชัดก่อนเทรด",https://www.investopedia.com/
61,Custom Bullish Pattern 61,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+61,"ตัวอย่างแพตเทิร์นที่ใช้ทดสอบ UI หมวดขาขึ้น","ปรับแต่งคำอธิบายได้ตามต้องการ",https://www.investopedia.com/
62,Custom Bullish Pattern 62,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+62,"ตัวอย่างข้อมูลเพิ่มสำหรับระบบค้นหา","ใช้ร่วมกับอินดิเคเตอร์จะเห็นภาพขึ้น",https://www.investopedia.com/
63,Custom Bullish Pattern 63,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+63,"แพตเทิร์นจำลองเพื่อเติมครบ 100 แถว","ทดสอบการแสดงผลบนโมบาย",https://www.investopedia.com/
64,Custom Bullish Pattern 64,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+64,"ใช้แทนแพตเทิร์นขาขึ้นทั่วไป","แก้ใน CSV ได้เลย",https://www.investopedia.com/
65,Custom Bullish Pattern 65,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+65,"รองรับการค้นหาคำว่า bullish","เหมาะกับการเดโม",https://www.investopedia.com/
66,Custom Bullish Pattern 66,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+66,"สามารถเปลี่ยนชื่อเป็นแพตเทิร์นจริงได้","ลองเพิ่มรูปจริงของคุณเอง",https://www.investopedia.com/
67,Custom Bullish Pattern 67,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+67,"ข้อมูลจำลองแถวที่ 67","ใช้แทนข้อมูลยังไม่กรอก",https://www.investopedia.com/
68,Custom Bullish Pattern 68,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+68,"ข้อมูลจำลองแถวที่ 68","ใช้เทสการแบ่งหน้า",https://www.investopedia.com/
69,Custom Bullish Pattern 69,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+69,"ข้อมูลจำลองแถวที่ 69","แก้ไขได้ในสเปรดชีต",https://www.investopedia.com/
70,Custom Bullish Pattern 70,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+70,"ข้อมูลจำลองแถวที่ 70","เพิ่มหมวด/แท็กเองได้",https://www.investopedia.com/
71,Custom Bearish Pattern 71,Bearish,,อื่นๆ,https://placehold.co/640x360/ef4444/ffffff?text=Pattern+71,"ข้อมูลจำลองฝั่งขาลงแถวที่ 71","ใช้เทสรูปแบบสีแดง",https://www.investopedia.com/
72,Custom Bearish Pattern 72,Bearish,,อื่นๆ,https://placehold.co/640x360/ef4444/ffffff?text=Pattern+72,"ข้อมูลจำลองฝั่งขาลงแถวที่ 72","ใช้ดูว่า UI แสดง Bearish ถูกไหม",https://www.investopedia.com/
73,Custom Bearish Pattern 73,Bearish,,อื่นๆ,https://placehold.co/640x360/ef4444/ffffff?text=Pattern+73,"ข้อมูลจำลองฝั่งขาลงแถวที่ 73","นำไปแทนชื่อแพตเทิร์นจริงได้",https://www.investopedia.com/
74,Custom Bearish Pattern 74,Bearish,,อื่นๆ,https://placehold.co/640x360/ef4444/ffffff?text=Pattern+74,"ข้อมูลจำลองฝั่งขาลงแถวที่ 74","ลองใส่คำอธิบายยาวๆ เพื่อเทสดีไซน์",https://www.investopedia.com/
75,Custom Bearish Pattern 75,Bearish,,อื่นๆ,https://placehold.co/640x360/ef4444/ffffff?text=Pattern+75,"ข้อมูลจำลองฝั่งขาลงแถวที่ 75","รองรับการค้นหาคำว่า bearish",https://www.investopedia.com/
76,Custom Bearish Pattern 76,Bearish,,อื่นๆ,https://placehold.co/640x360/ef4444/ffffff?text=Pattern+76,"ข้อมูลจำลองฝั่งขาลงแถวที่ 76","ปรับให้เป็น Dark Cloud รุ่นย่อยก็ได้",https://www.investopedia.com/
77,Custom Bearish Pattern 77,Bearish,,อื่นๆ,https://placehold.co/640x360/ef4444/ffffff?text=Pattern+77,"ข้อมูลจำลองฝั่งขาลงแถวที่ 77","ใช้เช็กการแบ่งหน้า",https://www.investopedia.com/
78,Custom Bearish Pattern 78,Bearish,,อื่นๆ,https://placehold.co/640x360/ef4444/ffffff?text=Pattern+78,"ข้อมูลจำลองฝั่งขาลงแถวที่ 78","ใช้เสียบแทนแพตเทิร์นที่ยังไม่มีคำอธิบาย",https://www.investopedia.com/
79,Custom Bearish Pattern 79,Bearish,,อื่นๆ,https://placehold.co/640x360/ef4444/ffffff?text=Pattern+79,"ข้อมูลจำลองฝั่งขาลงแถวที่ 79","ทดลองแสดงใน dialog แบบใหม่",https://www.investopedia.com/
80,Custom Bearish Pattern 80,Bearish,,อื่นๆ,https://placehold.co/640x360/ef4444/ffffff?text=Pattern+80,"ข้อมูลจำลองฝั่งขาลงแถวที่ 80","เหมาะกับการทดสอบกรองข้อมูล",https://www.investopedia.com/
81,Custom Neutral Pattern 81,Neutral,,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Pattern+81,"แพตเทิร์นกลางๆ สำหรับเทส","ใช้ดูว่า UI แสดง Neutral อย่างไร",https://www.investopedia.com/
82,Custom Neutral Pattern 82,Neutral,,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Pattern+82,"ข้อมูลจำลองแถวที่ 82","เปลี่ยนเป็น Doji ย่อยได้",https://www.investopedia.com/
83,Custom Neutral Pattern 83,Neutral,,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Pattern+83,"ข้อมูลจำลองแถวที่ 83","ใช้เทสข้อความยาว",https://www.investopedia.com/
84,Custom Neutral Pattern 84,Neutral,,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Pattern+84,"ข้อมูลจำลองแถวที่ 84","เพิ่มหมวดเองได้",https://www.investopedia.com/
85,Custom Neutral Pattern 85,Neutral,,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Pattern+85,"ข้อมูลจำลองแถวที่ 85","เผื่อใช้เป็นแพตเทิร์น option",https://www.investopedia.com/
86,Custom Neutral Pattern 86,Neutral,,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Pattern+86,"ข้อมูลจำลองแถวที่ 86","แก้ตรง summary ได้เลย",https://www.investopedia.com/
87,Custom Neutral Pattern 87,Neutral,,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Pattern+87,"ข้อมูลจำลองแถวที่ 87","ใช้เทส responsive",https://www.investopedia.com/
88,Custom Neutral Pattern 88,Neutral,,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Pattern+88,"ข้อมูลจำลองแถวที่ 88","เหมาะกับการทดสอบตัวฟิลเตอร์",https://www.investopedia.com/
89,Custom Neutral Pattern 89,Neutral,,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Pattern+89,"ข้อมูลจำลองแถวที่ 89","รองรับค้นหาคำว่า neutral",https://www.investopedia.com/
90,Custom Neutral Pattern 90,Neutral,,อื่นๆ,https://placehold.co/640x360/94a3b8/ffffff?text=Pattern+90,"ข้อมูลจำลองแถวที่ 90","ใช้ดูว่าหน้าสุดท้ายแสดงครบไหม",https://www.investopedia.com/
91,Custom Bullish Pattern 91,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+91,"แถวที่ 91 เพื่อให้ครบ 100 รายการ","สามารถเปลี่ยนชื่อเป็นแพตเทิร์นจริง",https://www.investopedia.com/
92,Custom Bullish Pattern 92,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+92,"แถวที่ 92 เพื่อให้ครบ 100 รายการ","ใช้ต่อยอดใน Google Sheets",https://www.investopedia.com/
93,Custom Bullish Pattern 93,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+93,"แถวที่ 93 เพื่อให้ครบ 100 รายการ","ใช้เทสปุ่มดูกราฟ",https://www.investopedia.com/
94,Custom Bullish Pattern 94,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+94,"แถวที่ 94 เพื่อให้ครบ 100 รายการ","ใช้เทส modal หลายครั้ง",https://www.investopedia.com/
95,Custom Bullish Pattern 95,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+95,"แถวที่ 95 เพื่อให้ครบ 100 รายการ","คงฟิลด์ tip ไว้ให้เหมือนกัน",https://www.investopedia.com/
96,Custom Bullish Pattern 96,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+96,"แถวที่ 96 เพื่อให้ครบ 100 รายการ","ทดสอบการค้นหาตัวเลข",https://www.investopedia.com/
97,Custom Bullish Pattern 97,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+97,"แถวที่ 97 เพื่อให้ครบ 100 รายการ","ทดสอบการเลื่อนหน้า",https://www.investopedia.com/
98,Custom Bullish Pattern 98,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+98,"แถวที่ 98 เพื่อให้ครบ 100 รายการ","ทดสอบการแสดงผลยาวๆ",https://www.investopedia.com/
99,Custom Bullish Pattern 99,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+99,"แถวที่ 99 เพื่อให้ครบ 100 รายการ","แก้ไขภายหลังได้",https://www.investopedia.com/
100,Custom Bullish Pattern 100,Bullish,,อื่นๆ,https://placehold.co/640x360/10b981/ffffff?text=Pattern+100,"แถวที่ 100 ปิดท้ายไฟล์ candlestick","อัปโหลดเข้าเว็บของคุณได้เลย",https://www.investopedia.com/
