id,name,side,count,grouping,image,summary,tip,source_url
11,Falling Three Methods,Bearish,4,ขาลง 4 ตัว,https://placehold.co/240x160/ffe4d6/0f172a?text=Falling+3+Methods,"แดงใหญ่ → พัก → แดงต่อ ลงต่อ","ใช้ยืนยันว่าขาลงยังไม่จบ",https://www.investopedia.com/terms/f/falling_three_methods.asp
12,Rising Three Methods,Bullish,4,ขาขึ้น 4 ตัว,https://placehold.co/240x160/cffafe/0f172a?text=Rising+3+Methods,"เขียวใหญ่ → พัก → เขียวต่อ ขึ้นต่อ","ดีถ้าวอลุ่มแท่งพักลดลง",https://www.investopedia.com/terms/r/rising-three-methods.asp
13,Dark Cloud Cover,Bearish,2,ขาลง 2 ตัว,https://placehold.co/240x160/fee2e2/0f172a?text=Dark+Cloud,"แท่งแดงเปิดสูงแล้วปิดต่ำกว่าครึ่งเขียวก่อนหน้า","ดีมากถ้าเกิดใกล้แนวต้าน",https://www.investopedia.com/terms/d/dark-cloud-cover.asp
14,Harami Bullish,Bullish,2,ขาขึ้น 2 ตัว,https://placehold.co/240x160/ddf5ff/0f172a?text=Bullish+Harami,"แท่งเล็กอยู่ในแท่งแดงก่อนหน้า แรงขายเริ่มลด","ต้องมีแท่งถัดไปปิดสูงยืนยัน",https://www.investopedia.com/terms/h/harami.asp
15,Harami Bearish,Bearish,2,ขาลง 2 ตัว,https://placehold.co/240x160/fee4e2/0f172a?text=Bearish+Harami,"แท่งเล็กอยู่ในแท่งเขียวก่อนหน้า แรงซื้อเริ่มลด","รอแท่งแดงตาม, ใช้ใกล้แนวต้าน",https://www.investopedia.com/terms/h/harami.asp
16,Dragonfly Doji,Bullish,1,กลับตัว 1 แท่ง,https://placehold.co/240x160/e2f5ff/0f172a?text=Dragonfly+Doji,"โดจิหางล่างยาว แรงซื้อดันกลับ","ใช้ปลายขาลงเท่านั้น และควรมีแท่งยืนยัน",,
17,Gravestone Doji,Bearish,1,กลับตัว 1 แท่ง,https://placehold.co/240x160/fee2e2/0f172a?text=Gravestone+Doji,"โดจิหางบนยาว แรงขายกดลงหมด","ต้องอยู่บนยอดและมีแท่งแดงยืนยัน",,
18,Pattern 18,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+18,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
19,Pattern 19,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+19,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
20,Pattern 20,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+20,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
21,Pattern 21,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+21,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
22,Pattern 22,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+22,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
23,Pattern 23,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+23,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
24,Pattern 24,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+24,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
25,Pattern 25,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+25,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
26,Pattern 26,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+26,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
27,Pattern 27,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+27,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
28,Pattern 28,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+28,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
29,Pattern 29,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+29,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้",
30,Pattern 30,Neutral,1,อื่นๆ,https://placehold.co/240x160/e2e8f0/0f172a?text=Pattern+30,"เทคนิคตัวอย่าง ปรับใน csv ได้","ปรับข้อความได้"
